,CID,standard_inchi_key,smiles
82,23155621,VTHVGLORMDHGGF-UHFFFAOYSA-N,"""C1CCC2=C(C1)C(=O)N(C(=N2)CCCCN3CCN(CC3)C4=NC5=CC=CC=C5C6=C4CCC6)N"""
83,23155885,WOXCQSXEHWXACS-UHFFFAOYSA-N,"""C1CCC2=C(C1)C3=CC=CC=C3N=C2N4CCN(CC4)CCCCC5=NC6=C(CCCC6)C(=O)N5N"""
84,23155860,HLMKBCUKQMBYDR-UHFFFAOYSA-N,"""C1CN(CCN1CCCSC2=NC3=CC=CC=C3C(=O)N2N)C4=NC5=CC=CC=C5C=C4"""
85,23155625,OJNSMLDRVFFVJN-UHFFFAOYSA-N,"""C1CCC2=C(C1)C(=O)N(C(=N2)SCCCN3CCN(CC3)C4=NC5=CC=CC=C5C=C4)N"""
86,49837758,DQFJTXJCMDYWKL-UHFFFAOYSA-N,"""C1CCC2=C(C1)C(=O)N(C(=N2)CCCCN3CCN(CC3)C4=NC5=CC=CC=C5C=C4O)N"""
87,49836152,QCJPMOOSRAYGGE-UHFFFAOYSA-N,"""C1CCC2=C(C1)C(=O)N(C(=N2)CCCCN3CCN(CC3)C4=NC5=C(C=C4)C=C(C=C5)O)N"""
88,23155818,WCGCGRZZPCFDSO-UHFFFAOYSA-N,"""C1CN(CCN1CCCSC2=NC3=C(C=CC(=C3)[N+](=O)[O-])C(=O)N2N)C4=NC5=CC=CC=C5C=C4"""
89,23155951,SPBSBKPLXWUEGQ-UHFFFAOYSA-N,"""C1CN(CCN1CCCSC2=NC3=C(C(=O)N2N)N=CC=C3)C4=NC5=CC=CC=C5C=C4"""
90,136002690,UGLUCZYCHYWOCD-UHFFFAOYSA-N,"""C1CCC2=C(C1)C(=O)N(C(=N2)CCCCN3CCN(CC3)C4=NC5=C(C=CC(=C5)O)C=C4)N"""
91,49836154,HGUUKRWUSHWXTH-UHFFFAOYSA-N,"""C1CCC2=C(C1)C(=O)N(C(=N2)CN3CCN(CC3)C4=NC5=CC=CC=C5C=C4)N"""
92,23155948,YHOYHBANAWEKNE-UHFFFAOYSA-N,"""C1CN(CCN1CCCSC2=NC3=C(C=CC=N3)C(=O)N2N)C4=NC5=CC=CC=C5C=C4"""
93,11329644,MDDLXKDIADSAQA-UHFFFAOYSA-N,"""C1CNCC2=C1C3=C(S2)N=C(N(C3=O)N)SCCCN4CCN(CC4)C5=NC6=CC=CC=C6C=C5"""
94,23155906,XYQXSKXZFRFXOW-UHFFFAOYSA-N,"""C1CCC2=C(C1)C(=O)N(C(=N2)CCN3CCN(CC3)C4=NC5=CC=CC=C5C=C4)N"""
95,23155869,WCNGVFDLZVYEJL-UHFFFAOYSA-N,"""C1CCC2=C(C1)C(=O)N(C(=N2)CCCN3CCN(CC3)C4=NC5=CC=CC=C5C=C4)N"""
96,49837354,OMACXBJTMXFHCQ-UHFFFAOYSA-N,"""CC(=O)N1CCC2=C(C1)SC3=C2C(=O)N(C(=N3)SCCCN4CCN(CC4)C5=NC6=CC=CC=C6C=C5)N"""
97,11213399,FEPROLQKWGDFKU-UHFFFAOYSA-N,"""CC1=C(SC2=C1C(=O)N(C(=N2)CCCCN3CCN(CC3)C4=NC5=CC=CC=C5C=C4)N)C"""
98,23155676,OPVPOKBFTBDGTR-UHFFFAOYSA-N,"""C1CCC2=C(C1)C(=O)N(C(=N2)CCCCCN3CCN(CC3)C4=NC5=CC=CC=C5C=C4)N"""
99,11464531,GTIKAAJNYPWELX-UHFFFAOYSA-N,"""C1CN(CCN1CCCCC2=NC3=CC=CC=C3C(=O)N2N)C4=NC5=CC=CC=C5C=C4"""
100,49837461,UFZPJSNEEQOZFZ-UHFFFAOYSA-N,"""C1CN(CCN1CCCCC2=NC3=C(C(=CC=C3)F)C(=O)N2N)C4=NC5=CC=CC=C5C=C4"""
101,11305391,CFOHOEGJDCNBCR-UHFFFAOYSA-N,"""C1CN(CCN1CCCCC2=NC3=C(C=C(C=C3)F)C(=O)N2N)C4=NC5=CC=CC=C5C=C4"""
102,23155688,PWVBQEUMVVPFJT-UHFFFAOYSA-N,"""C1CN(CCN1CCCCC2=NC3=C(C=CC(=C3)F)C(=O)N2N)C4=NC5=CC=CC=C5C=C4"""
103,11178730,ASIIZNZQUBPOJQ-UHFFFAOYSA-N,"""C1CN(CCN1CCCCC2=NC3=C(C(=CC=C3)Cl)C(=O)N2N)C4=NC5=CC=CC=C5C=C4"""
104,23155955,TZSHYDBBXRRBCE-UHFFFAOYSA-N,"""C1CN(CCN1CCCCC2=NC3=C(C=C(C=C3)Cl)C(=O)N2N)C4=NC5=CC=CC=C5C=C4"""
105,23155825,PYCJRTFNOGPLEL-UHFFFAOYSA-N,"""C1CN(CCN1CCCCC2=NC3=C(C=CC(=C3)Cl)C(=O)N2N)C4=NC5=CC=CC=C5C=C4"""
106,23155758,XVBPOYYIPRSULQ-UHFFFAOYSA-N,"""C1CN(CCN1CCCCC2=NC3=C(C=CC=C3Cl)C(=O)N2N)C4=NC5=CC=CC=C5C=C4"""
107,23155900,RSUQRWJJGYXXCP-UHFFFAOYSA-N,"""CC1=C2C(=CC=C1)N=C(N(C2=O)N)CCCCN3CCN(CC3)C4=NC5=CC=CC=C5C=C4"""
