Compound ID,Uniprot ID,Compound Name,Standard inchi key,Max Phase,Target Pref Name,Gene Names,Target Class,Wild type or mutant,Mutation information,PubMed ID,End Point Standard Type,End Point Standard Relation,End Point Standard Value,End Point Standard Units,Endpoint Mode of Action,Assay Format,Assay Type,Assay Sub Type,Inhibitor Type,Detection Technology,Compound concentration value,Compound concentration value units,Substrate type,Substrate Type Standard Relation,Substrate Type Standard Value,Substrate Type Standard Units,Assay cell line,Assay Description,Activity Comments,Title,Journal,Year,Volume,Issue,Authors,Annotation Comments,Assay ID,DTC Tid,DTC Activity ID,DTC Molregno,Record ID,DTC Document ID
CHEMBL103,P20309,PROGESTERONE,RJKFOVLPORLFTN-LEKSSAKUSA-N,4,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,,IC50,,,,,,,,,,,,,,,,CHO-K1,DRUGMATRIX: Muscarinic M3 radioligand binding (ligand: [3H] N-Methylscopolamine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774651,DTCT0023280,7374847,DTCC00142899,1092348,46191
CHEMBL103,P20309,PROGESTERONE,RJKFOVLPORLFTN-LEKSSAKUSA-N,4,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,,KI,,,,,,,,,,,,,,,,CHO-K1,DRUGMATRIX: Muscarinic M3 radioligand binding (ligand: [3H] N-Methylscopolamine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774651,DTCT0023280,7374848,DTCC00142899,1092348,46191
CHEMBL10309,P20309,,KIBLABCMQPRMIQ-UHFFFAOYSA-N,0,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,18922694,IC50,<,1,NM,,,,,,,,,,,,,,Binding affinity to human muscarinic M3 receptor,,Synthesis and structure-activity relationship of benzetimide derivatives as human CXCR3 antagonists.,Bioorg. Med. Chem. Lett.,2008,18,21,"Bongartz JP, Buntinx M, Coesemans E, Hermans B, Lommen GV, Wauwe JV",,496615,DTCT0023280,2455665,DTCC00137862,726893,31823
CHEMBL10309,P20309,,KIBLABCMQPRMIQ-UHFFFAOYSA-N,0,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,18922694,IC50,>,10000,NM,,,,,,,,,,,,,,Binding affinity to human muscarinic M3 receptor,,Synthesis and structure-activity relationship of benzetimide derivatives as human CXCR3 antagonists.,Bioorg. Med. Chem. Lett.,2008,18,21,"Bongartz JP, Buntinx M, Coesemans E, Hermans B, Lommen GV, Wauwe JV",,496615,DTCT0023280,2455664,DTCC00137862,726892,31823
CHEMBL104,P20309,CLOTRIMAZOLE,VNFPBHJOKIVQEB-UHFFFAOYSA-N,4,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,,IC50,=,9928,NM,,,,,,,,,,,,,CHO-K1,DRUGMATRIX: Muscarinic M3 radioligand binding (ligand: [3H] N-Methylscopolamine),,DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774651,DTCT0023280,7356675,DTCC00143452,1960074,46191
CHEMBL104,P20309,CLOTRIMAZOLE,VNFPBHJOKIVQEB-UHFFFAOYSA-N,4,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,,KI,=,2104,NM,,,,,,,,,,,,,CHO-K1,DRUGMATRIX: Muscarinic M3 radioligand binding (ligand: [3H] N-Methylscopolamine),,DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774651,DTCT0023280,7356676,DTCC00143452,1960074,46191
CHEMBL1042,P20309,CHOLECALCIFEROL,QYSXJUFSXHHAJI-YRZJJWOYSA-N,4,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,,IC50,,,,,,,,,,,,,,,,CHO-K1,DRUGMATRIX: Muscarinic M3 radioligand binding (ligand: [3H] N-Methylscopolamine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774651,DTCT0023280,7353932,DTCC00235252,1992802,46191
CHEMBL1042,P20309,CHOLECALCIFEROL,QYSXJUFSXHHAJI-YRZJJWOYSA-N,4,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,,KI,,,,,,,,,,,,,,,,CHO-K1,DRUGMATRIX: Muscarinic M3 radioligand binding (ligand: [3H] N-Methylscopolamine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774651,DTCT0023280,7353933,DTCC00235252,1992802,46191
CHEMBL104210,P20309,,WMIQSPDXASFBFO-UHFFFAOYSA-N,0,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,12086495,KI,=,457.09,NM,,cell_based,,,,,,,,,,,CHO,Inhibition of [3H]NMS binding to human muscarinic acetylcholine receptor M3 in transfected CHO cells.,,Synthesis and pharmacology of benzoxazines as highly selective antagonists at M(4) muscarinic receptors.,J. Med. Chem.,2002,45,14,"Böhme TM, Augelli-Szafran CE, Hallak H, Pugsley T, Serpa K, Schwarz RD",,138832,DTCT0023280,1604090,DTCC00274324,237689,16818
CHEMBL104332,P20309,,RAVGDLZWTLVAPH-UHFFFAOYSA-N,0,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,12086495,KI,=,676.08,NM,,cell_based,,,,,,,,,,,CHO,Inhibition of [3H]NMS binding to human muscarinic acetylcholine receptor M3 in transfected CHO cells.,,Synthesis and pharmacology of benzoxazines as highly selective antagonists at M(4) muscarinic receptors.,J. Med. Chem.,2002,45,14,"Böhme TM, Augelli-Szafran CE, Hallak H, Pugsley T, Serpa K, Schwarz RD",,138832,DTCT0023280,1606517,DTCC00274628,1500359,16818
